src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,flow_bytes_per_sec,flow_packets_per_sec,packet_length_min,packet_length_max,packet_length_mean,packet_length_std,packet_length_var,fwd_packet_length_min,fwd_packet_length_max,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_min,bwd_packet_length_max,bwd_packet_length_mean,bwd_packet_length_std,flow_iat_min,flow_iat_max,flow_iat_mean,flow_iat_std,fwd_iat_min,fwd_iat_max,fwd_iat_mean,fwd_iat_std,fwd_iat_total,bwd_iat_min,bwd_iat_max,bwd_iat_mean,bwd_iat_std,bwd_iat_total,syn_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwr_flag_count,ece_flag_count,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,avg_fwd_bytes_per_bulk,avg_bwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_bwd_packets_per_bulk,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,fwd_init_win_bytes,bwd_init_win_bytes,fwd_seg_size_min,fwd_seg_size_avg,bwd_seg_size_avg,active_min,active_mean,active_max,active_std,idle_min,idle_mean,idle_max,idle_std,http_methods,uri_lengths_avg,uri_lengths_max,hosts,user_agents,content_types,tls_versions,cipher_suites,cert_issuers,mime_types,file_signatures
192.168.0.148,224.0.0.7,8001,8001,17,5944086.074829102,4,0,968,0,162.85093920478448,0.6729377653090267,242,242,242.0,0.0,0.0,242,242,242.0,0.0,0,0,0.0,0.0,0.0,2.0476489067077637,1.4860215187072754,0.8589167625386385,1.9455270767211914,2.0476489067077637,1.981362024943034,0.04692339311634738,5.944086074829102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,726,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9455270767211914,1.981362024943034,2.0476489067077637,0.04692339311634738,,0,0,,,,,,,,
192.168.0.108,216.58.196.165,38706,443,6,112663.98429870605,1,1,66,66,1171.6255271962366,17.751901927215705,66,66,66.0,0.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,0.11266398429870605,0.05633199214935303,0.05633199214935303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,66,1,66,501,972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.148,239.255.255.250,49264,15600,17,1000.0,1,0,77,0,77000.0,1000.0,77,77,77.0,0.0,0.0,77,77,77.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,77,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
142.250.195.138,192.168.0.108,443,38831,17,8291.482925415039,1,1,200,75,33166.56410846249,241.21137533427265,75,200,137.5,62.5,3906.25,200,200,200.0,0.0,75,75,75.0,0.0,0.0,0.008291482925415039,0.0041457414627075195,0.0041457414627075195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,200,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
142.250.196.42,192.168.0.108,443,56883,17,52313.56620788574,1,1,68,71,2657.054566833319,38.231000961630485,68,71,69.5,1.5,2.25,68,68,68.0,0.0,71,71,71.0,0.0,0.0,0.05231356620788574,0.02615678310394287,0.02615678310394287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,68,1,71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.1,224.0.0.1,0,0,2,1000.0,1,0,50,0,50000.0,1000.0,50,50,50.0,0.0,0.0,50,50,50.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.108,34.237.73.95,38776,443,6,307785.2725982666,2,1,372,329,2277.5618666945534,9.747055064313352,66,329,233.66666666666666,118.92948424264785,14144.22222222222,66,306,186.0,120.0,329,329,329.0,0.0,0.0,0.30655837059020996,0.10259509086608887,0.14422468796753532,0.3077852725982666,0.3077852725982666,0.3077852725982666,0.0,0.3077852725982666,0.0,0.0,0.0,0.0,0.0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,372,1,329,5161,2630,0,120.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.148,224.0.0.7,0,0,2,1000.0,1,0,46,0,46000.0,1000.0,46,46,46.0,0.0,0.0,46,46,46.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.1,239.255.255.250,1900,1900,17,98830.2230834961,10,0,3494,0,35353.55775781378,101.18362266117282,300,384,349.4,30.85514543799786,952.04,300,384,349.4,30.85514543799786,0,0,0.0,0.0,0.0,0.0953986644744873,0.00988302230834961,0.028506762009402675,0.00021386146545410156,0.0953986644744873,0.010981135898166232,0.029847441713476964,0.0988302230834961,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,3494,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.148,192.168.0.255,54964,15600,17,1000.0,1,0,77,0,77000.0,1000.0,77,77,77.0,0.0,0.0,77,77,77.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,77,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.1.1,224.0.0.1,0,0,2,1000.0,1,0,46,0,46000.0,1000.0,46,46,46.0,0.0,0.0,46,46,46.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.148,224.0.0.251,0,0,2,1000.0,1,0,46,0,46000.0,1000.0,46,46,46.0,0.0,0.0,46,46,46.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
192.168.0.1,192.168.0.108,53,44749,17,10786.294937133789,1,1,132,75,19191.019827147942,185.42048142171924,75,132,103.5,28.5,812.25,132,132,132.0,0.0,75,75,75.0,0.0,0.0,0.010786294937133789,0.0053931474685668945,0.0053931474685668945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,132,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
142.251.221.163,192.168.0.108,443,46758,17,174888.37242126465,11,9,4970,3796,50123.40087930365,114.35866045928279,64,1292,438.3,489.2465738255098,239362.21000000005,64,1292,451.8181818181818,480.53300296873346,73,1292,421.77777777777777,499.1932998521554,0.0,0.11408686637878418,0.008744418621063232,0.024944687942361526,0.0007560253143310547,0.025333642959594727,0.0033165693283081056,0.00733933878427956,0.033165693283081055,0.0007066726684570312,0.12181210517883301,0.02186104655265808,0.03914729724707971,0.17488837242126465,0,0,0,0,0,0,0,0,0,0,0,0,2584,2584,2,2,14775.138931339336,14775.138931339336,0,0,0,0,11,4970,9,3796,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
104.18.26.90,192.168.0.108,443,49730,6,1000.0,0,1,0,66,66000.0,1000.0,66,66,66.0,0.0,0.0,0,0,0.0,0.0,66,66,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,66,0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,,,,
